"power","estimate"
98,-0.007
93,-0.0068
93,-0.0066
96,-0.0064
94,-0.0062
91,-0.006
94,-0.0058
87,-0.0056
82,-0.0054
82,-0.0052
82,-0.005
74,-0.0048
64,-0.0046
70,-0.0044
56,-0.0042
62,-0.004
